participantId,timestamp,x,y,z
1,91648,1575,-2223,3296
1,91689,1597,-2129,3217
1,91728,1596,-2141,3246
1,91768,1585,-2195,3305
1,91809,1567,-2167,3228
1,91849,1597,-2205,3256
1,91890,1594,-2183,3251
1,91930,1574,-2185,3248
1,91970,1565,-2215,3271
1,92010,1580,-2150,3254
1,92050,1566,-2120,3246
1,92091,1602,-2177,3237
1,92131,1599,-2187,3301
1,92171,1556,-2145,3264
1,92211,1631,-2178,3250
1,92251,1562,-2150,3283
1,92292,1605,-2168,3213
1,92332,1613,-2166,3262
1,92372,1638,-2184,3186
1,92413,1595,-2174,3268
1,92453,1597,-2160,3273
1,92494,1598,-2143,3224
1,92534,1602,-2189,3269
1,92574,1599,-2188,3267
1,92614,1574,-2138,3261
1,92655,1599,-2164,3262
1,92696,1597,-2130,3243
1,92735,1609,-2194,3254
1,92776,1591,-2221,3287
1,92816,1577,-2135,3228
1,92856,1583,-2147,3253
1,92897,1620,-2181,3262
1,92936,1583,-2152,3239
1,92977,1597,-2173,3245
1,93017,1580,-2159,3320
1,93057,1568,-2117,3290
1,93098,1576,-2190,3231
1,93137,1605,-2199,3295
1,93177,1603,-2174,3239
1,93217,1543,-2155,3254
1,93258,1565,-2139,3309
1,93298,1560,-2145,3273
1,93338,1558,-2184,3248
1,93378,1573,-2176,3282
1,93418,1585,-2191,3267
1,93458,1577,-2150,3262
1,93499,1547,-2193,3291
1,93539,1594,-2162,3282
1,93579,1594,-2197,3246
1,93619,1545,-2174,3269
1,93659,1554,-2188,3246
1,93700,1562,-2179,3277
1,93740,1582,-2181,3256
1,93780,1557,-2159,3263
1,93820,1549,-2152,3311
1,93860,1566,-2191,3275
1,93901,1581,-2177,3231
1,93940,1584,-2188,3252
1,93981,1582,-2172,3258
1,94021,1555,-2163,3294
1,94061,1598,-2165,3293
1,94102,1548,-2174,3215
1,94141,1583,-2167,3320
1,94181,1586,-2171,3262
1,94222,1555,-2174,3215
1,94262,1590,-2186,3295
1,94302,1565,-2143,3246
1,94342,1548,-2184,3281
1,94382,1581,-2157,3287
1,94422,1573,-2145,3258
1,94462,1610,-2212,3262
1,94503,1561,-2139,3277
1,94543,1610,-2196,3285
1,94583,1588,-2132,3256
1,94623,1590,-2146,3288
1,94663,1598,-2192,3251
1,94704,1563,-2132,3241
1,94744,1587,-2158,3274
1,94784,1568,-2157,3253
1,94824,1581,-2135,3321
1,94864,1589,-2135,3289
1,94905,1558,-2123,3229
1,94945,1598,-2222,3270
1,94985,1603,-2144,3192
1,95025,1541,-2330,3182
1,95065,1620,-2080,3294
1,95106,1657,-2106,3309
1,95146,1550,-2181,3299
1,95186,1582,-2148,3301
1,95226,1576,-2118,3266
1,95266,1599,-2183,3280
1,95307,1569,-2167,3260
1,95347,1584,-2144,3254
1,95387,1592,-2142,3310
1,95428,1522,-2215,3312
1,95468,1645,-2124,3211
1,95509,1571,-2074,3266
1,95549,1555,-2144,3291
1,95589,1596,-2199,3228
1,95629,1581,-2196,3262
1,95669,1619,-2163,3277
1,95710,1577,-2116,3235
1,95750,1559,-2179,3335
1,95790,1604,-2178,3245
1,95830,1567,-2144,3280
1,95870,1609,-2127,3230
1,95912,1552,-2139,3265
1,95951,1565,-2129,3317
1,95991,1588,-2151,3265
1,96032,1568,-2123,3258
1,96072,1555,-2194,3300
1,96113,1545,-2139,3244
1,96152,1585,-2125,3275
1,96192,1582,-2142,3258
1,96233,1566,-2149,3286
1,96273,1594,-2193,3298
1,96314,1550,-2143,3270
1,96353,1570,-2186,3307
1,96394,1548,-2175,3242
1,96434,1576,-2170,3282
1,96474,1575,-2194,3316
1,96515,1563,-2145,3264
1,96555,1540,-2155,3305
1,96595,1587,-2146,3274
1,96635,1561,-2144,3250
1,96675,1529,-2218,3305
1,96716,1604,-2139,3249
1,96756,1563,-2131,3275
1,96796,1575,-2171,3291
1,96836,1564,-2179,3280
1,96877,1597,-2191,3276
1,96918,1596,-2183,3279
1,96957,1602,-2140,3245
1,96998,1572,-2170,3318
1,97038,1571,-2195,3262
1,97078,1571,-2142,3259
1,97119,1580,-2159,3276
1,97158,1562,-2129,3294
1,97199,1607,-2125,3241
1,97239,1565,-2162,3280
1,97279,1621,-2152,3302
1,97320,1553,-2156,3287
1,97360,1603,-2106,3245
1,97400,1552,-2192,3316
1,97440,1611,-2134,3247
1,97480,1582,-2102,3299
1,97521,1553,-2156,3313
1,97561,1580,-2159,3267
1,97601,1574,-2180,3310
1,97641,1600,-2152,3258
1,97681,1603,-2116,3293
1,97722,1608,-2173,3297
1,97762,1602,-2127,3241
1,97802,1568,-2196,3332
1,97842,1578,-2160,3235
1,97882,1559,-2156,3261
1,97923,1604,-2148,3321
1,97963,1592,-2127,3263
1,98003,1570,-2187,3280
1,98043,1616,-2165,3320
1,98083,1624,-2094,3205
1,98124,1567,-2176,3299
1,98164,1616,-2168,3294
1,98204,1557,-2137,3264
1,98244,1590,-2136,3280
1,98284,1564,-2148,3236
1,98325,1570,-2226,3248
1,98364,1605,-2095,3304
1,98405,1564,-2135,3274
1,98445,1603,-2163,3308
1,98485,1591,-2126,3254
1,98526,1554,-2155,3241
1,98565,1582,-2184,3309
1,98605,1570,-2181,3240
1,98646,1542,-2148,3312
1,98686,1583,-2153,3316
1,98727,1516,-2156,3223
1,98766,1584,-2176,3321
1,98806,1586,-2172,3234
1,98846,1629,-2141,3264
1,98887,1563,-2197,3298
1,98928,1565,-2194,3250
1,98967,1576,-2155,3276
1,99007,1519,-2155,3287
1,99047,1615,-2100,3291
1,99087,1541,-2171,3223
1,99128,1596,-2141,3275
1,99168,1590,-2159,3314
